setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
truthfulqa_qwen1.5b,0D+SINK,112.0,0.7354383368115429,0.0011649696714139,0.7662178702570379,1634,817,0.5
truthfulqa_qwen1.5b,LEX+DEFL,,0.825182137832983,0.0019492798359443,0.835985312117503,1634,817,0.5
truthfulqa_qwen1.5b,PH_SINK,336.0,0.8303207992940708,0.0007833095682248,0.8506731946144431,1634,817,0.5
truthfulqa_qwen1.5b,PH_ENT,336.0,0.8334294647552244,0.0024727718206745,0.8518971848225214,1634,817,0.5
truthfulqa_qwen1.5b,1D,112.0,0.5857849342835613,0.0013740305782742,0.6438188494492044,1634,817,0.5
truthfulqa_qwen1.5b,DEFL,168.0,0.7031172049277217,0.0042496139741625,0.7552019583843329,1634,817,0.5
truthfulqa_qwen1.5b,ANS,168.0,0.6974886477529967,0.0040495129723554,0.7001223990208079,1634,817,0.5
truthfulqa_qwen1.5b,ROWSTAT,56.0,0.7383267739243643,0.0013592135599389,0.8151774785801713,1634,817,0.5
truthfulqa_qwen1.5b,LOGPROB,6.0,0.6384629559438433,0.0006844571156966,0.6817625458996328,1634,817,0.5
truthfulqa_qwen1.5b,SINK,56.0,0.7231325160414629,0.0019013516124468,0.7711138310893513,1634,817,0.5
truthfulqa_qwen1.5b,LEX,,0.8200734394124847,0.001369954612001,0.8292533659730722,1634,817,0.5
truthfulqa_qwen1.5b,LEGACY_MSTPROXY,28.0,0.698372557450385,0.0009851516336365,0.7858017135862914,1634,817,0.5
truthfulqa_qwen1.5b,LLMCHECK,28.0,0.6659480530765302,0.0005248556827992,0.7429620563035496,1634,817,0.5
truthfulqa_qwen1.5b,LOOKBACK,336.0,0.8509473564358364,0.0019515833820601,0.8555691554467564,1634,817,0.5
truthfulqa_qwen1.5b,PH_0D,672.0,0.8377471389041617,0.0011696703573008,0.847001223990208,1634,817,0.5
truthfulqa_qwen1.5b,HIDDEN,1536.0,0.9157409335584556,0.0012094853910518,0.9228886168910648,1634,817,0.5
truthfulqa_qwen1.5b,PH_0DTOT,336.0,0.8194427174080772,0.0010685912346658,0.8384332925336597,1634,817,0.5
truthfulqa_phi3,LOOKBACK,1024.0,0.8921045889894815,0.0003728770353257,0.9033047735618116,1634,817,0.5
truthfulqa_phi3,LLMCHECK,32.0,0.6534399817824713,0.0007122480086878,0.7539779681762546,1634,817,0.5
truthfulqa_phi3,LEGACY_MSTPROXY,32.0,0.6138198532110641,0.0008080854227026,0.6952264381884945,1634,817,0.5
truthfulqa_phi3,LEX,,0.8200734394124847,0.001369954612001,0.8292533659730722,1634,817,0.5
truthfulqa_phi3,HIDDEN,3072.0,0.9327090034442516,0.0006994325448137,0.9473684210526316,1634,817,0.5
truthfulqa_phi3,ANS,192.0,0.6230709419930516,0.0048086876794885,0.6554467564259486,1634,817,0.5
truthfulqa_phi3,ROWSTAT,64.0,0.6611105201733661,0.0010918725036724,0.7343941248470012,1634,817,0.5
truthfulqa_phi3,DEFL,192.0,0.6387610881977082,0.0011357277005747,0.6854345165238678,1634,817,0.5
truthfulqa_phi3,1D,128.0,0.5293585362455411,0.0021156187713652,0.5507955936352509,1634,817,0.5
truthfulqa_phi3,SINK,64.0,0.6518684203035555,0.0006575918525451,0.7074663402692778,1634,817,0.5
truthfulqa_phi3,PH_0D,2048.0,0.8681071897814047,0.0006388138523787,0.8788249694002448,1634,817,0.5
truthfulqa_phi3,LOGPROB,6.0,0.5779870529701613,0.0016991344078215,0.598531211750306,1634,817,0.5
truthfulqa_phi3,PH_0DTOT,1024.0,0.8459060748566644,0.0020036330771903,0.8837209302325582,1634,817,0.5
truthfulqa_phi3,LEX+DEFL,,0.802464160458075,0.0009731027620038,0.8274173806609547,1634,817,0.5
truthfulqa_phi3,PH_ENT,1024.0,0.8638374564974104,0.0010606182784859,0.8971848225214198,1634,817,0.5
truthfulqa_phi3,0D+SINK,128.0,0.6576692649616698,0.0006804341244711,0.7074663402692778,1634,817,0.5
truthfulqa_phi3,0D+1D,192.0,0.6452810458299687,0.001236525431434,0.7074663402692778,1634,817,0.5
truthfulqa_phi3,SINK+DEFL,256.0,0.6848577279925212,0.0015485000322464,0.7270501835985312,1634,817,0.5
truthfulqa_phi3,SINK+ANS,256.0,0.6720395392283618,0.0012812159796099,0.7086903304773562,1634,817,0.5
truthfulqa_phi3,SINK+1D,192.0,0.6535942914415069,0.0009752827796785,0.7050183598531212,1634,817,0.5
truthfulqa_phi3,NONTOPO,4198.0,0.9363420221157204,0.0005657873173911,0.94124847001224,1634,817,0.5
truthfulqa_phi3,NONTOPO+0D,4262.0,0.9364603761260484,0.0005710075651405,0.9436964504283966,1634,817,0.5
truthfulqa_phi3,NONTOPO+DEFL,4390.0,0.9372603893097864,0.0006875427933008,0.9424724602203184,1634,817,0.5
truthfulqa_phi3,LOGPROB+0D,70.0,0.6561126850030488,0.0010277170048382,0.6988984088127295,1634,817,0.5
truthfulqa_phi3,HIDDEN+0D,3136.0,0.9329097558162008,0.000798941689612,0.9436964504283966,1634,817,0.5
truthfulqa_phi3,LEX+0D,,0.8211146550729675,0.0002999099305558,0.8421052631578947,1634,817,0.5
truthfulqa_phi3,LEX+SINK,,0.8199311149696848,0.0004784468906944,0.8323133414932681,1634,817,0.5
truthfulqa_phi3,PH_SINK,1024.0,0.8709776490698723,0.0008200074000702,0.8984088127294981,1634,817,0.5
truthfulqa_phi3,PH_SINK+PH_0DTOT,2048.0,0.8709791472219018,0.0006606369166671,0.9057527539779682,1634,817,0.5
truthfulqa_phi3,LEN,2.0,0.5223187198590539,0.0003551431452822,0.5624235006119951,1634,817,0.5
truthfulqa_phi3,0D,64.0,0.6467252643863795,0.0010284767308248,0.7172582619339045,1634,817,0.5
truthfulqa_tinyllama,LEN,2.0,0.522706741234687,0.0005038445620911,0.5563035495716034,1634,817,0.5
truthfulqa_tinyllama,0D,44.0,0.6538609625027528,0.0012007112949109,0.7270501835985312,1634,817,0.5
truthfulqa_tinyllama,SINK,44.0,0.6437484363038193,0.0007572219533091,0.7197062423500612,1634,817,0.5
truthfulqa_tinyllama,1D,88.0,0.5928517174065789,0.00099276913153,0.6768665850673194,1634,817,0.5
truthfulqa_tinyllama,DEFL,132.0,0.6518579332393493,0.0028255427946259,0.7037943696450428,1634,817,0.5
truthfulqa_tinyllama,ANS,132.0,0.6456525875332777,0.0041449294582141,0.6829865361077111,1634,817,0.5
truthfulqa_tinyllama,ROWSTAT,44.0,0.6598955188774647,0.0015615901679526,0.7441860465116279,1634,817,0.5
truthfulqa_tinyllama,LOGPROB,6.0,0.6366127381874458,0.0010314251757952,0.6462668298653611,1634,817,0.5
truthfulqa_tinyllama,HIDDEN,2048.0,0.8828684817277888,0.0012707475489223,0.8788249694002448,1634,817,0.5
truthfulqa_tinyllama,LEX,,0.8200734394124847,0.001369954612001,0.8292533659730722,1634,817,0.5
truthfulqa_tinyllama,LEGACY_MSTPROXY,22.0,0.6268957241242927,0.0008171494271298,0.7380660954712362,1634,817,0.5
truthfulqa_tinyllama,LLMCHECK,22.0,0.6143457045734086,0.0006860296809321,0.7013463892288861,1634,817,0.5
truthfulqa_tinyllama,LOOKBACK,704.0,0.8503570845362246,0.0028337746177994,0.8457772337821298,1634,817,0.5
truthfulqa_tinyllama,PH_0D,1408.0,0.8054140218041046,0.002177371092749,0.8212974296205631,1634,817,0.5
