setting,bank,auc_bf16_mps,auc_bf16_cuda,auc_fp32_cuda,platform,precision
truthfulqa_tinyllama,SINK,0.6433394407997735,0.6437544289119371,0.6437544289119371,0.00041498811216367226,0.0
truthfulqa_tinyllama,0D,0.6537201362119825,0.6526699316393229,0.6536736934990689,-0.0010502045726596965,0.001003761859746044
truthfulqa_tinyllama,1D,0.5915258528604965,0.5923228697401755,0.5938629700264724,0.0007970168796789245,0.0015401002862969193
truthfulqa_tinyllama,DEFL,0.651234701995089,0.6504991093486184,0.6533590815728798,-0.0007355926464706064,0.0028599722242613757
truthfulqa_tinyllama,PH_0D,0.805790057963502,0.8063084185656992,0.8049540891310568,0.000518360602197232,-0.0013543294346424206
truthfulqa_tinyllama,LOGPROB,0.6366277197077405,0.6366966347010962,0.6366651735084773,6.89149933557065e-05,-3.14611926188757e-05
truthfulqa_tinyllama,LOOKBACK,0.8503421030159298,0.8502387305258963,0.8504364865937866,-0.00010337249003355975,0.00019775606789029787
truthfulqa_tinyllama,HIDDEN,0.8828999429204076,0.8828085556466099,0.8828325260790815,-9.138727379776057e-05,2.3970432471598357e-05
truthfulqa_tinyllama,NONTOPO,0.8847726329572473,0.8845568990650033,0.8847351791565105,-0.00021573389224394113,0.00017828009150711033
truthfulqa_qwen1.5b,SINK,0.7231325160414629,0.7243580044015706,0.7263445539926501,0.0012254883601077182,0.0019865495910794673
truthfulqa_qwen1.5b,0D,0.7260658977151684,0.7312120499364034,0.7355237314772228,0.005146152221235045,0.004311681540819401
truthfulqa_qwen1.5b,1D,0.5857849342835613,0.5887932235587403,0.5894449196915604,0.0030082892751790435,0.0006516961328201232
truthfulqa_qwen1.5b,DEFL,0.7031172049277217,0.7061584535475491,0.6990871759684429,0.0030412486198274635,-0.007071277579106194
truthfulqa_qwen1.5b,PH_0D,0.8377471389041617,0.835457962603129,0.8402520490974383,-0.002289176301032758,0.004794086494309346
truthfulqa_qwen1.5b,LOGPROB,0.6384629559438433,0.6382547128117467,0.6407611211570527,-0.00020824313209655276,0.0025064083453060215
truthfulqa_qwen1.5b,LOOKBACK,0.8509473564358364,0.8521623577317379,0.853211064152368,0.0012150012959014633,0.0010487064206301522
truthfulqa_qwen1.5b,HIDDEN,0.9157409335584556,0.9159881286433184,0.9149738797193662,0.0002471950848627058,-0.001014248923952188
truthfulqa_qwen1.5b,NONTOPO,0.9166203487997556,0.9169664219185636,0.9166652933606396,0.00034607311880796576,-0.00030112855792396864
