Benchmark,N_samples,N_groups,AUC(0D),AUC(0D+1D*),ΔAUC,95% CI low,95% CI high,TOST_p(ε=0.010),TOST_p(ε=0.015),TOST_p(ε=0.020),TOST_p(ε=0.025),Equiv(ε=0.015)
HaluEval (Qwen2.5-3B),4000,2000,0.8218,0.8374,0.01558,0.01054,0.02045,0.9841,0.5805,0.0382,0.0001,REJECTED
HaluEval (Qwen2.5-1.5B),1000,500,0.9038,0.9196,0.01588,0.00617,0.02596,0.8795,0.5649,0.2036,0.0378,REJECTED
TruthfulQA (Qwen2.5-3B),300,150,0.7026,0.6883,-0.01427,-0.04738,0.01876,0.5904,0.4686,0.3539,0.2545,REJECTED
TruthfulQA (SmolLM-1.7B),1000,500,0.5732,0.5836,0.01037,-0.00377,0.02493,0.5219,0.2658,0.0946,0.0245,REJECTED
TruthfulQA (Phi-3-mini-3.8B),300,150,0.6344,0.6224,-0.01209,-0.02884,0.00445,0.6169,0.3801,0.1822,0.0661,REJECTED
