example_id,label,mean_prob,min_prob
0,grounded,0.88623046875,0.65869140625
0,hallucinated,0.4482421875,0.0006198883056640625
1,grounded,1.0669231414794922e-05,1.0669231414794922e-05
1,hallucinated,0.572265625,1.3947486877441406e-05
2,grounded,0.66650390625,5.173683166503906e-05
2,hallucinated,0.5263671875,1.9669532775878906e-06
3,grounded,0.166015625,0.166015625
3,hallucinated,0.68115234375,0.00717926025390625
4,grounded,5.662441253662109e-06,5.662441253662109e-06
4,hallucinated,0.296142578125,5.960464477539063e-08
5,grounded,0.52880859375,0.05718994140625
5,hallucinated,0.697265625,0.01617431640625
6,grounded,0.7998046875,1.1920928955078125e-06
6,hallucinated,0.69189453125,4.70280647277832e-05
7,grounded,0.73095703125,0.192626953125
7,hallucinated,0.432373046875,3.641843795776367e-05
8,grounded,0.80810546875,0.067138671875
8,hallucinated,0.72900390625,0.0
9,grounded,0.76513671875,6.753206253051758e-05
9,hallucinated,0.470458984375,1.5079975128173828e-05
10,grounded,0.66650390625,4.0531158447265625e-06
10,hallucinated,0.75927734375,0.0
11,grounded,0.6103515625,0.3671875
11,hallucinated,0.537109375,8.225440979003906e-06
12,grounded,0.5224609375,0.045318603515625
12,hallucinated,0.92138671875,9.5367431640625e-06
13,grounded,0.8125,0.06390380859375
13,hallucinated,0.67919921875,1.9669532775878906e-06
14,grounded,0.74853515625,0.015289306640625
14,hallucinated,0.55419921875,4.76837158203125e-07
15,grounded,0.853515625,0.269287109375
15,hallucinated,0.383544921875,3.069639205932617e-05
16,grounded,0.8623046875,0.0023345947265625
16,hallucinated,0.441162109375,1.7881393432617188e-07
17,grounded,8.958578109741211e-05,8.958578109741211e-05
17,hallucinated,0.56689453125,0.0
18,grounded,0.978515625,0.89306640625
18,hallucinated,0.60986328125,2.384185791015625e-07
19,grounded,0.00925445556640625,0.00925445556640625
19,hallucinated,0.68212890625,0.0
20,grounded,0.0003497600555419922,0.0003497600555419922
20,hallucinated,0.56494140625,5.960464477539063e-08
21,grounded,0.99755859375,0.9921875
21,hallucinated,0.76806640625,0.0
22,grounded,0.76318359375,0.05743408203125
22,hallucinated,0.72265625,0.0009851455688476562
23,grounded,0.626953125,0.0135650634765625
23,hallucinated,0.257080078125,5.841255187988281e-06
24,grounded,0.6669921875,0.0012063980102539062
24,hallucinated,0.39697265625,0.00013947486877441406
25,grounded,0.5107421875,0.021514892578125
