Dataset,Feature Set,Normalization,Classifier,Nested CV AUC,Mean AUC,Std AUC
HaluEval (Qwen2.5-3B),0D + 1D,log,svm,0.842 ± 0.012,0.8415899999999998,0.012410007050763481
HaluEval (Qwen2.5-3B),1D Only,log,rf,0.689 ± 0.017,0.6886062500000001,0.017482642507999153
HaluEval (Qwen2.5-3B),0D + 1D,log,rf,0.757 ± 0.021,0.75669875,0.02060799029654515
HaluEval (Qwen2.5-3B),1D Only,log,xgb,0.706 ± 0.022,0.705895,0.0217627557423227
HaluEval (Qwen2.5-3B),0D + 1D,log,xgb,0.818 ± 0.021,0.8181799999999999,0.02092589768086427
HaluEval (Qwen2.5-3B),1D Only,log,mlp,0.649 ± 0.013,0.64893375,0.013080276241826859
HaluEval (Qwen2.5-3B),0D + 1D,log,mlp,0.794 ± 0.021,0.7935875000000001,0.020709882906477284
HaluEval (Qwen2.5-3B),1D Only,rank,lr_l2,0.712 ± 0.021,0.7115425,0.020533122783687827
HaluEval (Qwen2.5-3B),0D + 1D,rank,lr_l2,0.845 ± 0.015,0.8446849999999999,0.014925582903190094
HaluEval (Qwen2.5-3B),1D Only,rank,lr_l1,0.711 ± 0.021,0.71141,0.02088279255751015
HaluEval (Qwen2.5-3B),0D + 1D,rank,lr_l1,0.846 ± 0.014,0.8459150000000001,0.013755190838370816
HaluEval (Qwen2.5-3B),1D Only,rank,svm,0.711 ± 0.021,0.7111724999999999,0.021046654870786503
HaluEval (Qwen2.5-3B),0D + 1D,rank,svm,0.847 ± 0.014,0.8469275000000002,0.014022029319966496
HaluEval (Qwen2.5-3B),1D Only,rank,rf,0.696 ± 0.018,0.6956837499999999,0.01755774940197349
HaluEval (Qwen2.5-3B),0D + 1D,rank,rf,0.756 ± 0.021,0.75591,0.020600892577750107
HaluEval (Qwen2.5-3B),1D Only,rank,xgb,0.709 ± 0.017,0.7088749999999999,0.01709074950814035
HaluEval (Qwen2.5-3B),0D + 1D,rank,xgb,0.820 ± 0.022,0.8199025000000001,0.022447252615854778
HaluEval (Qwen2.5-3B),1D Only,rank,mlp,0.655 ± 0.017,0.65478875,0.01690675941931216
HaluEval (Qwen2.5-3B),0D + 1D,rank,mlp,0.799 ± 0.019,0.79886625,0.018821213140031653
HaluEval (Qwen2.5-3B),1D Only,residualized,lr_l2,0.693 ± 0.016,0.6929787500000001,0.01613046423890211
HaluEval (Qwen2.5-3B),0D + 1D,residualized,lr_l2,0.838 ± 0.013,0.83768,0.013210354840048748
HaluEval (Qwen2.5-3B),1D Only,residualized,lr_l1,0.688 ± 0.014,0.68794625,0.014258379170245819
HaluEval (Qwen2.5-3B),0D + 1D,residualized,lr_l1,0.839 ± 0.013,0.8387375,0.012803404088366534
HaluEval (Qwen2.5-3B),1D Only,residualized,svm,0.696 ± 0.015,0.69628,0.015300791646186161
HaluEval (Qwen2.5-3B),0D + 1D,residualized,svm,0.839 ± 0.012,0.8392750000000001,0.01243456372375003
HaluEval (Qwen2.5-3B),1D Only,residualized,rf,0.686 ± 0.017,0.68553125,0.01658570379310149
HaluEval (Qwen2.5-3B),0D + 1D,residualized,rf,0.759 ± 0.021,0.7585912499999999,0.020720804800067515
HaluEval (Qwen2.5-3B),1D Only,residualized,xgb,0.704 ± 0.010,0.70428375,0.0103925093967963
HaluEval (Qwen2.5-3B),0D + 1D,residualized,xgb,0.822 ± 0.021,0.82216,0.021019267797666014
HaluEval (Qwen2.5-3B),1D Only,residualized,mlp,0.655 ± 0.014,0.6551349999999999,0.01382296187508304
HaluEval (Qwen2.5-3B),0D + 1D,residualized,mlp,0.792 ± 0.021,0.79227125,0.02099401853058392
TruthfulQA (Qwen2.5-3B),0D Only,None,lr_l2,0.725 ± 0.052,0.7248888888888889,0.05230301079547527
TruthfulQA (Qwen2.5-3B),0D Only,None,lr_l1,0.729 ± 0.057,0.7293333333333335,0.05714007047878911
TruthfulQA (Qwen2.5-3B),0D Only,None,svm,0.732 ± 0.057,0.732,0.056848944309774135
TruthfulQA (Qwen2.5-3B),0D Only,None,rf,0.704 ± 0.079,0.7040000000000001,0.07866038895227673
TruthfulQA (Qwen2.5-3B),0D Only,None,xgb,0.678 ± 0.076,0.6777777777777778,0.07579699984290397
TruthfulQA (Qwen2.5-3B),0D Only,None,mlp,0.731 ± 0.056,0.7306666666666667,0.05647068506406609
TruthfulQA (Qwen2.5-3B),1D Only,raw,lr_l2,0.542 ± 0.094,0.5417777777777777,0.09420649763965788
TruthfulQA (Qwen2.5-3B),0D + 1D,raw,lr_l2,0.694 ± 0.058,0.6942222222222222,0.05834930998142687
TruthfulQA (Qwen2.5-3B),1D Only,raw,lr_l1,0.600 ± 0.078,0.6,0.07820833210008085
