Dataset,Feature Set,Normalization,Classifier,Nested CV AUC,Mean AUC,Std AUC
TruthfulQA (SmolLM-1.7B),1D Only,residualized,lr_l1,0.543 ± 0.046,0.54328,0.04568003502625628
TruthfulQA (SmolLM-1.7B),0D + 1D,residualized,lr_l1,0.580 ± 0.044,0.5803200000000001,0.04449711900786385
TruthfulQA (SmolLM-1.7B),1D Only,residualized,svm,0.544 ± 0.045,0.5442,0.044950728581414565
TruthfulQA (SmolLM-1.7B),0D + 1D,residualized,svm,0.583 ± 0.042,0.58292,0.041966100605131285
TruthfulQA (SmolLM-1.7B),1D Only,residualized,rf,0.547 ± 0.072,0.5472400000000001,0.07185779289680416
TruthfulQA (SmolLM-1.7B),0D + 1D,residualized,rf,0.552 ± 0.049,0.55246,0.049166008583166484
TruthfulQA (SmolLM-1.7B),1D Only,residualized,xgb,0.514 ± 0.048,0.51404,0.04837898717418548
TruthfulQA (SmolLM-1.7B),0D + 1D,residualized,xgb,0.549 ± 0.073,0.5485399999999999,0.07276301533059223
TruthfulQA (SmolLM-1.7B),1D Only,residualized,mlp,0.545 ± 0.045,0.5451600000000001,0.04470309161568136
TruthfulQA (SmolLM-1.7B),0D + 1D,residualized,mlp,0.555 ± 0.023,0.55522,0.022755825627737654
TruthfulQA (Phi-3-mini-3.8B),0D Only,None,lr_l2,0.663 ± 0.059,0.6626666666666667,0.05880959021481591
TruthfulQA (Phi-3-mini-3.8B),0D Only,None,lr_l1,0.671 ± 0.063,0.6706666666666666,0.06324399156549025
TruthfulQA (Phi-3-mini-3.8B),0D Only,None,svm,0.663 ± 0.055,0.663111111111111,0.05525429428593796
TruthfulQA (Phi-3-mini-3.8B),0D Only,None,rf,0.623 ± 0.083,0.6231111111111111,0.08308971798344188
TruthfulQA (Phi-3-mini-3.8B),0D Only,None,xgb,0.606 ± 0.060,0.6062222222222222,0.06003126757298863
TruthfulQA (Phi-3-mini-3.8B),0D Only,None,mlp,0.672 ± 0.065,0.6724444444444444,0.06507886952966574
TruthfulQA (Phi-3-mini-3.8B),1D Only,raw,lr_l2,0.500 ± 0.037,0.49977777777777777,0.036507398201690425
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,raw,lr_l2,0.645 ± 0.043,0.6448888888888888,0.04283531484103817
TruthfulQA (Phi-3-mini-3.8B),1D Only,raw,lr_l1,0.496 ± 0.025,0.496,0.02462158041682584
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,raw,lr_l1,0.641 ± 0.041,0.6408888888888888,0.04125440492754593
TruthfulQA (Phi-3-mini-3.8B),1D Only,raw,svm,0.500 ± 0.034,0.49977777777777777,0.034072544249071524
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,raw,svm,0.642 ± 0.039,0.6417777777777778,0.03880689769412102
TruthfulQA (Phi-3-mini-3.8B),1D Only,raw,rf,0.504 ± 0.078,0.5037777777777779,0.07791131393774701
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,raw,rf,0.633 ± 0.075,0.632888888888889,0.07532513885290805
TruthfulQA (Phi-3-mini-3.8B),1D Only,raw,xgb,0.515 ± 0.141,0.514888888888889,0.14066877302267092
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,raw,xgb,0.621 ± 0.081,0.6211111111111112,0.08130570265332326
TruthfulQA (Phi-3-mini-3.8B),1D Only,raw,mlp,0.533 ± 0.062,0.5331111111111111,0.06221785698973455
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,raw,mlp,0.643 ± 0.078,0.6431111111111112,0.07810218061798244
TruthfulQA (Phi-3-mini-3.8B),1D Only,per_token,lr_l2,0.513 ± 0.025,0.5131111111111111,0.024913678131193138
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,per_token,lr_l2,0.638 ± 0.044,0.6382222222222221,0.044453332444622205
TruthfulQA (Phi-3-mini-3.8B),1D Only,per_token,lr_l1,0.505 ± 0.024,0.5046666666666667,0.024189580452524097
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,per_token,lr_l1,0.635 ± 0.043,0.6346666666666667,0.04262034522573102
TruthfulQA (Phi-3-mini-3.8B),1D Only,per_token,svm,0.514 ± 0.021,0.5144444444444445,0.021157843013588466
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,per_token,svm,0.635 ± 0.052,0.6346666666666667,0.05216498044843095
TruthfulQA (Phi-3-mini-3.8B),1D Only,per_token,rf,0.484 ± 0.059,0.4844444444444444,0.05916288459482218
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,per_token,rf,0.619 ± 0.070,0.6188888888888889,0.06961800533386937
TruthfulQA (Phi-3-mini-3.8B),1D Only,per_token,xgb,0.482 ± 0.091,0.48244444444444434,0.09094537771868925
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,per_token,xgb,0.581 ± 0.076,0.5806666666666667,0.07606397567220458
TruthfulQA (Phi-3-mini-3.8B),1D Only,per_token,mlp,0.486 ± 0.063,0.4855555555555555,0.0630363406846684
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,per_token,mlp,0.621 ± 0.062,0.6208888888888888,0.06161769827525804
TruthfulQA (Phi-3-mini-3.8B),1D Only,clique,lr_l2,0.521 ± 0.037,0.5206666666666667,0.03651551336143833
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,clique,lr_l2,0.639 ± 0.043,0.6386666666666667,0.04318435930853773
TruthfulQA (Phi-3-mini-3.8B),1D Only,clique,lr_l1,0.509 ± 0.031,0.5086666666666666,0.03108649820051094
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,clique,lr_l1,0.634 ± 0.049,0.6342222222222222,0.049413348523912846
TruthfulQA (Phi-3-mini-3.8B),1D Only,clique,svm,0.514 ± 0.044,0.5135555555555555,0.04361956747454824
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,clique,svm,0.644 ± 0.042,0.6435555555555557,0.042107446337162714
TruthfulQA (Phi-3-mini-3.8B),1D Only,clique,rf,0.499 ± 0.074,0.4988888888888888,0.07356361150916672
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,clique,rf,0.613 ± 0.076,0.6126666666666667,0.07580384041869
TruthfulQA (Phi-3-mini-3.8B),1D Only,clique,xgb,0.507 ± 0.059,0.5073333333333333,0.05914660588448266
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,clique,xgb,0.636 ± 0.101,0.6355555555555555,0.10074291936642064
TruthfulQA (Phi-3-mini-3.8B),1D Only,clique,mlp,0.493 ± 0.059,0.4931111111111111,0.059216697678531674
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,clique,mlp,0.640 ± 0.088,0.6395555555555555,0.08809534677527975
TruthfulQA (Phi-3-mini-3.8B),1D Only,log,lr_l2,0.506 ± 0.028,0.5055555555555555,0.027813310606858363
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,log,lr_l2,0.642 ± 0.042,0.6417777777777778,0.042032321484575606
TruthfulQA (Phi-3-mini-3.8B),1D Only,log,lr_l1,0.499 ± 0.015,0.4993333333333333,0.015073482561876999
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,log,lr_l1,0.633 ± 0.050,0.6333333333333334,0.050371459683210336
TruthfulQA (Phi-3-mini-3.8B),1D Only,log,svm,0.510 ± 0.030,0.5095555555555554,0.03007890856963965
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,log,svm,0.630 ± 0.048,0.6297777777777778,0.048321965457533006
TruthfulQA (Phi-3-mini-3.8B),1D Only,log,rf,0.479 ± 0.089,0.47911111111111104,0.08910085837388416
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,log,rf,0.630 ± 0.063,0.6304444444444444,0.06310524229363412
TruthfulQA (Phi-3-mini-3.8B),1D Only,log,xgb,0.423 ± 0.086,0.4228888888888889,0.08579073016775211
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,log,xgb,0.603 ± 0.097,0.6031111111111113,0.09655395728123559
TruthfulQA (Phi-3-mini-3.8B),1D Only,log,mlp,0.522 ± 0.060,0.5224444444444444,0.060094164791394775
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,log,mlp,0.643 ± 0.077,0.6431111111111112,0.0769813188818568
TruthfulQA (Phi-3-mini-3.8B),1D Only,rank,lr_l2,0.505 ± 0.043,0.5051111111111112,0.04326262036663585
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,rank,lr_l2,0.648 ± 0.047,0.6484444444444446,0.047180242778540014
TruthfulQA (Phi-3-mini-3.8B),1D Only,rank,lr_l1,0.505 ± 0.038,0.5048888888888889,0.03774900865348638
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,rank,lr_l1,0.652 ± 0.047,0.6524444444444443,0.047069163715106575
TruthfulQA (Phi-3-mini-3.8B),1D Only,rank,svm,0.509 ± 0.053,0.5091111111111111,0.05271352814394721
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,rank,svm,0.650 ± 0.039,0.6497777777777778,0.038684542483535894
TruthfulQA (Phi-3-mini-3.8B),1D Only,rank,rf,0.499 ± 0.086,0.4993333333333333,0.08603215017769537
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,rank,rf,0.634 ± 0.073,0.6342222222222222,0.07281432500494617
TruthfulQA (Phi-3-mini-3.8B),1D Only,rank,xgb,0.515 ± 0.141,0.514888888888889,0.14066877302267092
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,rank,xgb,0.621 ± 0.081,0.6211111111111112,0.08130570265332326
TruthfulQA (Phi-3-mini-3.8B),1D Only,rank,mlp,0.522 ± 0.071,0.5224444444444444,0.07109340057233351
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,rank,mlp,0.657 ± 0.075,0.6568888888888889,0.07465608390611932
TruthfulQA (Phi-3-mini-3.8B),1D Only,residualized,lr_l2,0.500 ± 0.038,0.5002222222222222,0.03777058755103787
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,residualized,lr_l2,0.645 ± 0.043,0.6453333333333333,0.04280533023230049
TruthfulQA (Phi-3-mini-3.8B),1D Only,residualized,lr_l1,0.486 ± 0.024,0.4855555555555555,0.023564987629432536
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,residualized,lr_l1,0.632 ± 0.048,0.6319999999999999,0.047942352213908634
TruthfulQA (Phi-3-mini-3.8B),1D Only,residualized,svm,0.493 ± 0.042,0.4926666666666667,0.04242116871982142
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,residualized,svm,0.642 ± 0.039,0.6422222222222221,0.03850284581433518
TruthfulQA (Phi-3-mini-3.8B),1D Only,residualized,rf,0.520 ± 0.066,0.5195555555555555,0.06627142094876118
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,residualized,rf,0.616 ± 0.069,0.6155555555555555,0.06911789891639707
TruthfulQA (Phi-3-mini-3.8B),1D Only,residualized,xgb,0.487 ± 0.080,0.4873333333333333,0.08025914816516266
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,residualized,xgb,0.609 ± 0.063,0.6093333333333333,0.0630719753462191
TruthfulQA (Phi-3-mini-3.8B),1D Only,residualized,mlp,0.502 ± 0.067,0.502,0.06730399067287043
TruthfulQA (Phi-3-mini-3.8B),0D + 1D,residualized,mlp,0.633 ± 0.065,0.6328888888888888,0.0647792071502295
