info_gain_nats,null_mean,null_p95,perm_p_value,Benchmark
0.017172373694608223,-0.021487884634722097,-0.012853177400185056,0.0,HaluEval (Qwen2.5-3B)
0.02564826753677324,-0.0017257814394809113,0.0009056143798904348,0.0,HaluEval (Qwen2.5-1.5B)
-0.0061907274111879795,-0.026989979400645892,-0.01104539598801675,0.0,TruthfulQA (Qwen2.5-3B)
-0.00029012725202937073,-0.02928879478061836,-0.020219769575458055,0.0,TruthfulQA (SmolLM-1.7B)
-0.0015097105901655805,-0.005788498591458642,-0.0020165310405870296,0.05,TruthfulQA (Phi-3-mini-3.8B)
-0.00010484547366818031,-0.00492403237923284,0.0016235779810227886,0.25,TruthfulQA (Mistral-7B)
0.00353379603541093,-0.022648330610243052,-0.010781875470293734,0.0,TruthfulQA (TinyLlama-1.1B)
